default_code;name;xmlid_code;old_code;type;transport_ok;subtype;asset_type_id.name;procure_method;supply_method;standard_price;volume;weight;international_status.name;state.name;active;perishable;batch_management;uom_id.name;uom_po_id.name;nomen_manda_0.name;nomen_manda_1.name;nomen_manda_2.name;nomen_manda_3.name;life_time;use_time;short_shelf_life;alert_time;heat_sensitive_item.code;cold_chain;sterilized;single_use;narcotic;justification_code_id.id;closed_article;restricted_country;country_restriction;dangerous_goods;un_code;criticism;abc_class;product_catalog_path;description;description2;description_sale;description_purchase;procure_delay;property_account_income.code;property_account_expense.code;state.code;state_ud
AFOOBEEF4TC;BEEF, with carots, 400 g, tin;AFOOBEEF4TC;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;BEEF - Beef;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOBISC3--;BISCUITS, 175 g, pack;AFOOBISC3--;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;BISC - Biscuits;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCARO4T-;CAROTS, 400 g, tin;AFOOCARO4T-;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CARO - Carots;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCASS1TD;CASSOULET, duck, 1 kg, tin;AFOOCASS1TD;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CASS - Cassoulet;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCASS4TD;CASSOULET, duck, 420 g, tin;AFOOCASS4TD;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CASS - Cassoulet;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCHEE1S-;CHEESE : babybel, emmental, pyrenees, 2 coulommiers;AFOOCHEE1S-;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CHEE - Cheese;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCHEE2S-;CHEESE GRATED, 1kg, sachet;AFOOCHEE2S-;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CHEE - Cheese;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCHEE3S-;CHEESE : long preservation, 500g;AFOOCHEE3S-;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CHEE - Cheese;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCHOC1PM;CHOCOLATE, milk/nuts, 100 g;AFOOCHOC1PM;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CHOC - Chocolate;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCHOC1PP;CHOCOLATE, plain, 100 g;AFOOCHOC1PP;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;CHOC - Chocolate;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCOFF1PS;COFFEE, soluble powder, 1 kg;AFOOCOFF1PS;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;COFF - Coffe;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
AFOOCOFF2--;COFFEE, monodose, waterproof sachet;AFOOCOFF2--;;Non-Stockable;FALSE;;;Make to Order;Buy;;;;UniData;;TRUE;FALSE;FALSE;PCE;;LOG;A - Administration;AFOO - Food For Msf Staff;COFF - Coffe;;;FALSE;;;;No;No;FALSE;;;FALSE;;FALSE;;;;;;;;;;;;valid;valid
XTRAAAAA---;TRANSPORT (service);XTRAAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XTRA - Transport;AAAA - Transport cost;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
XCUSAAAA---;CUSTOM service;XCUSAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XCUS - Custom fees;AAAA - Custom fees;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
XFREAAAA---;FREIGHT service;XFREAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XFRE - Freight;AAAA - Freight fees;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
XINSAAAA---;INSURANCE service;XINSAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XINS - Insurance;AAAA - Insurance fees;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
XMAIAAAA---;MAINTENANCE service;XMAIAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XMAI - Maintenance;AAAA - Maintenance fees;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
XREPAAAA---;REPARATION service;XREPAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XREP - Repairs;AAAA - Generic Repairs;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
XTAXAAAA---;TAXES (service);XTAXAAAA---;;Service with Reception;;Single Item;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;;;PCE;PCE;SRV;X - Services;XTAX - Taxes;AAAA - Taxes;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
KIT;KIT;KIT;;Stockable Product;;Kit/Module;;Make to Order;Buy;1.0;0.0;0.0;UniData;;True;True;True;PCE;PCE;MED;K - Med Kits;KMED - Medical Kits;KBAS - Basis Kit;0;0;;0;;;No;No;;;;;;;;;;;;;;;60.0;;;valid;valid
